@relation 'titanic-weka.filters.unsupervised.attribute.NumericToBinary-R1-weka.filters.unsupervised.attribute.Remove-R3,8,10-weka.filters.unsupervised.attribute.Reorder-R1,2,3,5,6,7,8,4-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C8-Lfirst-last-M'

@attribute survived_binarized {0,1}
@attribute pclass numeric
@attribute sex {male,female}
@attribute sibsp numeric
@attribute parch numeric
@attribute fare numeric
@attribute embarked {S,C,Q}
@attribute age numeric

@data
1,3,male,0,1,8.5167,C,0.42
1,2,male,1,1,14.5,S,0.67
1,3,female,2,1,19.2583,C,0.75
1,3,female,2,1,19.2583,C,0.75
1,2,male,0,2,29,S,0.83
1,2,male,1,1,18.75,S,0.83
1,1,male,1,2,151.55,S,0.92
0,3,male,4,1,39.6875,S,1
1,3,female,1,1,11.1333,S,1
1,2,male,2,1,39,S,1
1,3,female,0,2,15.7417,C,1
0,3,male,5,2,46.9,S,1
1,3,male,1,2,20.575,S,1
1,2,male,0,2,37.0042,C,1
0,3,male,3,1,21.075,S,2
0,3,male,4,1,29.125,Q,2
0,3,female,4,2,31.275,S,2
0,3,female,0,1,10.4625,S,2
0,1,female,1,2,151.55,S,2
1,2,male,1,1,26,S,2
1,3,female,0,1,12.2875,S,2
1,2,female,1,1,26,S,2
0,3,female,3,2,27.9,S,2
0,3,male,4,1,39.6875,S,2
1,2,female,1,2,41.5792,C,3
1,2,male,1,1,26,S,3
1,3,male,4,2,31.3875,S,3
1,3,male,1,1,15.9,S,3
0,3,female,3,1,21.075,S,3
1,2,male,1,1,18.75,S,3
1,3,female,1,1,16.7,S,4
0,3,male,3,2,27.9,S,4
0,3,male,4,1,29.125,Q,4
1,3,female,0,2,22.025,S,4
1,1,male,0,2,81.8583,S,4
1,2,female,2,1,39,S,4
1,3,female,0,1,13.4167,C,4
1,2,female,1,1,23,S,4
0,3,male,4,2,31.275,S,4
1,3,male,1,1,11.1333,S,4
1,2,female,1,2,27.75,S,5
